IdUhrh;Annee;Mois;Jour;Heure;Apport (mm);Evp (mm);Wetsep (m3);Wetvol (m3);Wetflwi (m3);Wetflwo (m3);Wetprod (mm)
2;2020;1;1;0;0.08;0.19;458.87469;8505.88184;510.78967;148.65352;0.76
4;2020;1;1;0;0.13;0.19;58.26017;71.16943;44.40480;0.00000;0.23
11;2020;1;1;0;0.35;0.19;77.33914;0.00000;21.67592;0.00000;0.21
13;2020;1;1;0;0.02;0.19;39.20836;96.40231;31.40578;0.00000;0.04
17;2020;1;1;0;0.02;0.19;75.99599;1491.77380;101.31013;37.75265;0.19
19;2020;1;1;0;0.01;0.19;0.37573;0.00000;0.09917;0.00000;0.00
26;2020;1;1;0;0.69;0.19;140.27432;0.00000;65.20137;0.00000;0.34
2;2020;1;2;0;0.20;0.67;457.01654;8762.55273;898.48798;177.17256;0.80
4;2020;1;2;0;0.36;0.67;54.72007;89.02138;72.76114;0.00000;0.21
11;2020;1;2;0;0.92;0.67;0.00000;42.40376;42.40376;0.00000;0.00
13;2020;1;2;0;0.05;0.67;38.10037;112.99939;55.82466;0.00000;0.04
17;2020;1;2;0;0.05;0.67;75.76183;1545.58923;175.53816;43.73214;0.20
19;2020;1;2;0;0.01;0.67;0.00000;0.21437;0.21437;0.00000;0.00
26;2020;1;2;0;1.72;0.67;0.00000;133.51482;133.51482;0.00000;0.00
2;2020;1;3;0;0.74;0.36;461.86508;10755.18848;2832.88525;398.57648;1.08
4;2020;1;3;0;1.30;0.36;59.24491;230.44196;195.32512;0.00000;0.23
11;2020;1;3;0;3.40;0.36;105.37084;77.65578;112.68824;0.00000;0.29
13;2020;1;3;0;0.17;0.36;40.31056;244.17642;171.64413;0.00000;0.04
17;2020;1;3;0;0.18;0.36;76.72095;1905.93323;521.10284;83.77036;0.27
19;2020;1;3;0;0.05;0.36;0.50787;0.32194;0.62264;0.00000;0.00
26;2020;1;3;0;6.46;0.36;257.95724;387.06110;377.38864;0.00000;0.62
2;2020;1;4;0;0.08;0.25;496.71106;10495.73340;610.12054;369.74814;1.09
4;2020;1;4;0;0.01;0.25;83.03893;189.17857;42.74952;0.00000;0.32
11;2020;1;4;0;0.05;0.25;103.95284;0.00000;27.40942;0.00000;0.29
13;2020;1;4;0;0.00;0.25;52.99139;214.44833;23.91955;0.00000;0.06
17;2020;1;4;0;0.00;0.25;82.64603;1841.56433;95.91665;76.61826;0.27
19;2020;1;4;0;0.00;0.25;0.42424;0.00000;0.10967;0.00000;0.00
26;2020;1;4;0;0.20;0.25;376.38934;89.50300;77.29051;0.00000;0.91
2;2020;1;5;0;0.02;0.15;492.42404;10082.76562;405.93423;323.86288;1.02
4;2020;1;5;0;0.04;0.15;77.42186;155.10971;43.66041;0.00000;0.30
11;2020;1;5;0;0.11;0.15;0.00000;32.48612;32.48612;0.00000;0.00
13;2020;1;5;0;0.01;0.15;50.60473;187.65955;24.16616;0.00000;0.05
17;2020;1;5;0;0.01;0.15;81.64421;1783.44922;94.25420;70.16103;0.25
19;2020;1;5;0;0.00;0.15;0.00000;0.12837;0.12837;0.00000;0.00
26;2020;1;5;0;0.20;0.15;174.08319;0.00000;82.48351;0.00000;0.42
2;2020;1;6;0;0.02;0.40;485.45706;9669.94238;359.47037;277.99356;0.96
4;2020;1;6;0;0.04;0.40;72.15270;122.39515;40.66629;0.00000;0.28
11;2020;1;6;0;0.09;0.40;60.35387;0.00000;29.04716;0.00000;0.17
13;2020;1;6;0;0.00;0.40;48.26355;160.73756;22.28561;0.00000;0.05
17;2020;1;6;0;0.00;0.40;80.72014;1720.92688;82.98988;63.21410;0.24
19;2020;1;6;0;0.00;0.40;0.23404;0.00000;0.11407;0.00000;0.00
26;2020;1;6;0;0.17;0.40;0.00000;88.40785;88.40785;0.00000;0.00
2;2020;1;7;0;0.02;0.61;478.30603;9269.96289;325.70920;233.55147;0.89
4;2020;1;7;0;0.03;0.61;66.33368;92.11055;37.89207;0.00000;0.26
11;2020;1;7;0;0.09;0.61;0.00000;31.07387;31.07387;0.00000;0.00
13;2020;1;7;0;0.00;0.61;45.68205;134.94173;21.26831;0.00000;0.05
17;2020;1;7;0;0.00;0.61;79.70404;1659.14258;76.67943;56.34917;0.23
19;2020;1;7;0;0.00;0.61;0.00000;0.12237;0.12237;0.00000;0.00
26;2020;1;7;0;0.17;0.61;162.67355;0.00000;78.01157;0.00000;0.39
2;2020;1;8;0;0.02;0.48;471.18716;8909.38965;314.58679;193.48770;0.83
4;2020;1;8;0;0.04;0.48;59.96669;67.41237;36.53005;0.00000;0.23
11;2020;1;8;0;0.10;0.48;57.65483;0.00000;28.08850;0.00000;0.16
13;2020;1;8;0;0.00;0.48;42.93163;111.71296;20.72288;0.00000;0.05
17;2020;1;8;0;0.01;0.48;78.67625;1602.40454;73.85156;50.04494;0.21
19;2020;1;8;0;0.00;0.48;0.22391;0.00000;0.11155;0.00000;0.00
26;2020;1;8;0;0.19;0.48;0.00000;85.22227;85.22227;0.00000;0.00
2;2020;1;9;0;0.01;0.39;464.59778;8537.25684;253.43173;152.13965;0.77
4;2020;1;9;0;0.02;0.39;53.67666;44.93828;32.18496;0.00000;0.21
11;2020;1;9;0;0.04;0.39;0.00000;28.43993;28.43993;0.00000;0.00
13;2020;1;9;0;0.00;0.39;40.14705;88.27812;17.49670;0.00000;0.04
17;2020;1;9;0;0.00;0.39;77.71045;1542.14856;62.32186;43.34984;0.20
19;2020;1;9;0;0.00;0.39;0.00000;0.11098;0.11098;0.00000;0.00
26;2020;1;9;0;0.09;0.39;153.22275;0.00000;70.70056;0.00000;0.37
2;2020;1;10;0;0.02;1.19;457.61420;8213.21777;276.05280;116.13535;0.72
4;2020;1;10;0;0.04;1.19;46.47991;29.59982;33.75803;0.00000;0.18
11;2020;1;10;0;0.10;1.19;50.52883;0.00000;26.75902;0.00000;0.14
13;2020;1;10;0;0.01;1.19;36.92808;68.11574;18.94831;0.00000;0.04
17;2020;1;10;0;0.01;1.19;76.66028;1487.86523;64.22537;37.31836;0.19
19;2020;1;10;0;0.00;1.19;0.19452;0.00000;0.10743;0.00000;0.00
26;2020;1;10;0;0.19;1.19;0.00000;80.88070;80.88070;0.00000;0.00
2;2020;1;11;0;1.01;0.80;451.37143;11060.31152;3711.16943;432.47910;1.11
4;2020;1;11;0;1.55;0.80;40.07723;229.37447;236.28197;0.00000;0.16
11;2020;1;11;0;4.05;0.80;0.00000;162.85199;162.85199;0.00000;0.00
13;2020;1;11;0;0.21;0.80;33.68091;251.33000;217.64337;0.00000;0.04
17;2020;1;11;0;0.23;0.80;75.69131;1961.04907;640.38330;89.89433;0.28
19;2020;1;11;0;0.06;0.80;0.00000;0.94336;0.94336;0.00000;0.00
26;2020;1;11;0;8.28;0.80;215.91063;528.19531;522.90240;0.00000;0.52
2;2020;1;12;0;0.00;0.13;501.66824;10556.11816;377.28409;376.45761;1.10
4;2020;1;12;0;0.00;0.13;82.90217;186.64204;40.72353;0.00000;0.32
11;2020;1;12;0;0.00;0.13;169.88963;40.84049;49.01298;0.00000;0.47
13;2020;1;12;0;0.00;0.13;53.53737;218.25879;20.82377;0.00000;0.06
17;2020;1;12;0;0.00;0.13;83.48663;1884.15137;88.49668;81.35014;0.27
19;2020;1;12;0;0.00;0.13;0.85938;0.26984;0.19160;0.00000;0.01
26;2020;1;12;0;0.00;0.13;420.30539;228.11565;123.03331;0.00000;1.02
2;2020;1;13;0;0.00;0.22;493.42780;10067.39062;332.34064;322.15448;1.02
4;2020;1;13;0;0.00;0.22;77.05176;146.64502;37.91151;0.00000;0.30
11;2020;1;13;0;0.00;0.22;89.98140;0.00000;50.29705;0.00000;0.25
13;2020;1;13;0;0.00;0.22;50.92211;186.12946;19.35899;0.00000;0.05
17;2020;1;13;0;0.00;0.22;82.30950;1807.85132;79.79715;72.87238;0.26
19;2020;1;13;0;0.00;0.22;0.46272;0.00000;0.19900;0.00000;0.00
26;2020;1;13;0;0.00;0.22;311.97888;38.06160;125.39388;0.00000;0.76
2;2020;1;14;0;0.00;0.33;485.19412;9597.29980;293.06815;269.92218;0.95
4;2020;1;14;0;0.00;0.33;70.72959;110.01524;35.27223;0.00000;0.27
11;2020;1;14;0;0.00;0.33;0.00000;53.01545;53.01545;0.00000;0.00
13;2020;1;14;0;0.00;0.33;48.12349;155.15829;17.95003;0.00000;0.05
17;2020;1;14;0;0.00;0.33;81.11048;1733.60901;72.83585;64.62321;0.24
19;2020;1;14;0;0.00;0.33;0.00000;0.21572;0.21572;0.00000;0.00
26;2020;1;14;0;0.00;0.33;164.03975;0.00000;128.71687;0.00000;0.40
2;2020;1;15;0;0.00;0.65;477.02750;9144.62207;259.51505;219.62471;0.87
4;2020;1;15;0;0.00;0.65;63.86964;77.21927;33.15432;0.00000;0.25
11;2020;1;15;0;0.00;0.65;94.40485;0.00000;45.10526;0.00000;0.26
13;2020;1;15;0;0.00;0.65;45.11275;125.35605;16.78013;0.00000;0.05
17;2020;1;15;0;0.00;0.65;79.91204;1660.83472;66.27814;56.53719;0.23
19;2020;1;15;0;0.00;0.65;0.38261;0.00000;0.18348;0.00000;0.00
26;2020;1;15;0;0.00;0.65;0.00000;131.64832;131.64832;0.00000;0.00
2;2020;1;16;0;0.00;0.52;468.91565;8721.97949;231.17931;172.66435;0.80
4;2020;1;16;0;0.00;0.52;56.32801;50.78350;31.36277;0.00000;0.22
11;2020;1;16;0;0.00;0.52;0.00000;47.42979;47.42979;0.00000;0.00
13;2020;1;16;0;0.00;0.52;41.82323;98.14143;15.70046;0.00000;0.04
17;2020;1;16;0;0.00;0.52;78.70473;1591.54980;60.31333;48.83887;0.21
19;2020;1;16;0;0.00;0.52;0.00000;0.19441;0.19441;0.00000;0.00
26;2020;1;16;0;0.00;0.52;236.35916;0.00000;111.41161;0.00000;0.57
2;2020;1;17;0;0.00;0.14;461.10477;8336.81641;209.01379;129.86845;0.74
4;2020;1;17;0;0.00;0.14;48.54192;31.62939;29.72514;0.00000;0.19
11;2020;1;17;0;0.00;0.14;87.55110;0.00000;40.88327;0.00000;0.24
13;2020;1;17;0;0.00;0.14;38.34295;74.27014;14.73813;0.00000;0.04
17;2020;1;17;0;0.00;0.14;77.52316;1527.12048;55.31263;41.68005;0.20
19;2020;1;17;0;0.00;0.14;0.35826;0.00000;0.16726;0.00000;0.00
26;2020;1;17;0;0.00;0.14;0.00000;119.53750;119.53750;0.00000;0.00
2;2020;1;18;0;0.00;0.25;453.77106;7978.38379;190.98726;90.04263;0.68
4;2020;1;18;0;0.00;0.25;41.03191;18.36425;28.27375;0.00000;0.16
11;2020;1;18;0;0.00;0.25;0.00000;43.74369;43.74369;0.00000;0.00
13;2020;1;18;0;0.00;0.25;34.73116;53.31187;14.20203;0.00000;0.04
17;2020;1;18;0;0.00;0.25;76.39426;1465.91638;51.01377;34.87960;0.19
19;2020;1;18;0;0.00;0.25;0.00000;0.17998;0.17998;0.00000;0.00
26;2020;1;18;0;0.00;0.25;219.66531;0.00000;103.19238;0.00000;0.53
2;2020;1;19;0;0.00;0.32;446.74725;7646.83789;175.44717;53.20420;0.63
4;2020;1;19;0;0.00;0.32;33.83021;10.85110;26.85031;0.00000;0.13
11;2020;1;19;0;0.00;0.32;80.08633;0.00000;38.02202;0.00000;0.22
13;2020;1;19;0;0.00;0.32;30.87490;35.50746;13.55715;0.00000;0.03
17;2020;1;19;0;0.00;0.32;75.29304;1408.08838;47.10602;28.45426;0.17
19;2020;1;19;0;0.00;0.32;0.32853;0.00000;0.15607;0.00000;0.00
26;2020;1;19;0;0.00;0.32;0.00000;110.63077;110.63077;0.00000;0.00
2;2020;1;20;0;0.00;0.33;440.06674;7342.05908;161.91203;19.33989;0.58
4;2020;1;20;0;0.00;0.33;28.06673;7.71889;25.39910;0.00000;0.11
11;2020;1;20;0;0.00;0.33;0.00000;40.36080;40.36080;0.00000;0.00
13;2020;1;20;0;0.00;0.33;26.72698;21.28099;12.94291;0.00000;0.03
17;2020;1;20;0;0.00;0.33;74.22497;1353.78333;43.56893;22.42037;0.16
19;2020;1;20;0;0.00;0.33;0.00000;0.16668;0.16668;0.00000;0.00
26;2020;1;20;0;0.00;0.33;202.02412;0.00000;95.38748;0.00000;0.49
2;2020;1;21;0;0.00;0.79;433.75867;7040.85889;149.59042;0.00000;0.54
4;2020;1;21;0;0.00;0.79;24.87045;5.62608;23.75420;0.00000;0.10
11;2020;1;21;0;0.00;0.79;71.12230;0.00000;34.82710;0.00000;0.20
13;2020;1;21;0;0.00;0.79;22.28577;10.45415;12.33401;0.00000;0.02
17;2020;1;21;0;0.00;0.79;73.19589;1301.32031;40.19823;16.59115;0.15
19;2020;1;21;0;0.00;0.79;0.29200;0.00000;0.14355;0.00000;0.00
26;2020;1;21;0;0.00;0.79;0.00000;100.92336;100.92336;0.00000;0.00
2;2020;1;22;0;0.00;0.70;427.35648;6736.72607;138.28694;0.00000;0.54
4;2020;1;22;0;0.00;0.70;22.22938;4.71547;22.10232;0.00000;0.09
11;2020;1;22;0;0.00;0.70;0.00000;36.17410;36.17410;0.00000;0.00
13;2020;1;22;0;0.00;0.70;17.31586;4.27691;11.74896;0.00000;0.02
17;2020;1;22;0;0.00;0.70;72.17611;1252.45691;37.01864;11.16188;0.14
19;2020;1;22;0;0.00;0.70;0.00000;0.15017;0.15017;0.00000;0.00
26;2020;1;22;0;0.00;0.70;178.56601;0.00000;85.87533;0.00000;0.43
2;2020;1;23;0;0.00;0.78;420.71005;6427.94727;128.42311;0.00000;0.53
4;2020;1;23;0;0.00;0.78;20.87889;3.54457;20.52644;0.00000;0.08
11;2020;1;23;0;0.00;0.78;63.35892;0.00000;31.08886;0.00000;0.17
13;2020;1;23;0;0.00;0.78;12.60825;2.36154;11.18713;0.00000;0.01
17;2020;1;23;0;0.00;0.78;71.20217;1206.60352;34.20695;6.06705;0.13
19;2020;1;23;0;0.00;0.78;0.26147;0.00000;0.12884;0.00000;0.00
26;2020;1;23;0;0.00;0.78;0.00000;89.84732;89.84732;0.00000;0.00
2;2020;1;24;0;0.00;0.58;413.76108;6122.02734;119.89269;0.00000;0.52
4;2020;1;24;0;0.00;0.58;18.86702;3.29207;19.16404;0.00000;0.07
11;2020;1;24;0;0.00;0.58;0.00000;32.32232;32.32232;0.00000;0.00
13;2020;1;24;0;0.00;0.58;10.21158;2.42707;10.57453;0.00000;0.01
17;2020;1;24;0;0.00;0.58;70.26566;1164.66113;31.77654;1.40679;0.12
19;2020;1;24;0;0.00;0.58;0.00000;0.13488;0.13488;0.00000;0.00
26;2020;1;24;0;0.00;0.58;160.32880;0.00000;77.00917;0.00000;0.39
2;2020;1;25;0;0.00;0.61;406.66074;5815.55322;112.49611;0.00000;0.51
4;2020;1;25;0;0.00;0.61;18.37852;2.25871;17.90148;0.00000;0.07
11;2020;1;25;0;0.00;0.61;57.56416;0.00000;28.13843;0.00000;0.16
13;2020;1;25;0;0.00;0.61;10.31128;1.73251;9.92884;0.00000;0.01
17;2020;1;25;0;0.00;0.61;69.38873;1122.87378;29.70175;0.00000;0.12
19;2020;1;25;0;0.00;0.61;0.23900;0.00000;0.11716;0.00000;0.00
26;2020;1;25;0;0.00;0.61;0.00000;80.82166;80.82166;0.00000;0.00
2;2020;1;26;0;1.47;0.17;399.31412;10408.73340;5307.07520;360.08145;0.95
4;2020;1;26;0;2.41;0.17;16.07803;345.94272;356.67209;0.00000;0.06
11;2020;1;26;0;6.26;0.17;0.00000;251.29388;251.29388;0.00000;0.00
13;2020;1;26;0;0.32;0.17;9.14831;332.11655;339.36539;0.00000;0.01
17;2020;1;26;0;0.33;0.17;68.49453;1878.03540;903.00409;80.67061;0.25
19;2020;1;26;0;0.09;0.17;0.00000;1.41082;1.41082;0.00000;0.00
26;2020;1;26;0;12.17;0.17;215.85468;856.24988;774.20819;0.00000;0.52
2;2020;1;27;0;0.60;0.19;490.97116;11867.96484;2452.38354;522.21826;1.27
4;2020;1;27;0;1.04;0.19;95.92136;417.91910;160.48779;0.00000;0.37
11;2020;1;27;0;2.69;0.19;198.17148;268.22498;172.64174;0.00000;0.55
13;2020;1;27;0;0.13;0.19;59.10525;430.25723;157.14917;0.00000;0.06
17;2020;1;27;0;0.14;0.19;82.21456;2160.00000;454.32855;90.31812;0.29
19;2020;1;27;0;0.04;0.19;0.99136;1.23828;0.82520;0.00000;0.01
26;2020;1;27;0;5.06;0.19;498.93265;1097.78467;535.01093;0.00000;1.21
2;2020;1;28;0;0.01;0.20;514.37775;11341.29980;456.23257;463.70001;1.23
4;2020;1;28;0;0.01;0.20;102.57816;361.91785;47.49424;0.00000;0.40
11;2020;1;28;0;0.03;0.20;202.81181;182.72905;118.80762;0.00000;0.56
13;2020;1;28;0;0.00;0.20;64.79468;386.80609;21.97951;0.00000;0.07
17;2020;1;28;0;0.00;0.20;86.40000;2160.00000;110.55997;23.31299;0.18
19;2020;1;28;0;0.00;0.20;0.94650;0.74536;0.46297;0.00000;0.01
26;2020;1;28;0;0.06;0.20;544.94189;778.23907;227.92476;0.00000;1.32
2;2020;1;29;0;0.00;0.41;506.15588;10812.74414;392.95612;404.97159;1.14
4;2020;1;29;0;0.00;0.41;97.47091;304.35626;41.90890;0.00000;0.38
11;2020;1;29;0;0.00;0.41;176.97870;116.48678;114.36710;0.00000;0.49
13;2020;1;29;0;0.00;0.41;62.39170;342.67148;19.53703;0.00000;0.07
17;2020;1;29;0;0.00;0.41;86.40000;2160.00000;93.81306;5.64062;0.15
19;2020;1;29;0;0.00;0.41;0.79043;0.38513;0.44642;0.00000;0.01
26;2020;1;29;0;0.00;0.41;482.29712;513.13208;227.08435;0.00000;1.17
2;2020;1;30;0;0.00;0.53;497.65308;10297.13965;342.95117;347.68222;1.06
4;2020;1;30;0;0.00;0.53;91.65806;248.84019;38.57678;0.00000;0.36
11;2020;1;30;0;0.00;0.53;150.83823;71.18471;109.54301;0.00000;0.42
13;2020;1;30;0;0.00;0.53;59.76533;299.36111;18.04257;0.00000;0.06
17;2020;1;30;0;0.00;0.53;86.40000;2055.02173;84.05244;100.33574;0.31
19;2020;1;30;0;0.00;0.53;0.62528;0.18101;0.43777;0.00000;0.01
26;2020;1;30;0;0.00;0.53;416.01071;308.30139;222.23090;0.00000;1.01
2;2020;1;31;0;0.00;0.62;489.09616;9800.74805;300.32562;292.52753;0.98
4;2020;1;31;0;0.00;0.62;85.33427;196.49130;35.61880;0.00000;0.33
11;2020;1;31;0;0.00;0.62;126.64404;45.74388;105.11143;0.00000;0.35
13;2020;1;31;0;0.00;0.62;56.96632;257.33749;16.70067;0.00000;0.06
17;2020;1;31;0;0.00;0.62;84.88538;1953.96387;75.55411;89.10709;0.29
19;2020;1;31;0;0.00;0.62;0.47827;0.11323;0.42524;0.00000;0.00
26;2020;1;31;0;0.00;0.62;347.18732;164.69131;214.29140;0.00000;0.84
2;2020;2;1;0;0.00;0.49;480.59286;9332.96680;265.10980;240.55185;0.90
4;2020;2;1;0;0.00;0.49;78.47125;149.55386;33.45166;0.00000;0.30
11;2020;2;1;0;0.00;0.49;108.24540;34.84515;99.99219;0.00000;0.30
13;2020;2;1;0;0.00;0.49;53.98817;217.69675;15.66690;0.00000;0.06
17;2020;2;1;0;0.00;0.49;83.37943;1858.86719;68.86131;78.54079;0.27
19;2020;2;1;0;0.00;0.49;0.40490;0.10643;0.40799;0.00000;0.00
26;2020;2;1;0;0.00;0.49;277.90802;87.31904;207.32782;0.00000;0.67
2;2020;2;2;0;0.00;0.63;472.32150;8890.32617;236.01297;191.36963;0.83
4;2020;2;2;0;0.00;0.63;71.22447;107.46295;31.38970;0.00000;0.28
11;2020;2;2;0;0.00;0.63;98.27750;27.76443;94.30988;0.00000;0.27
13;2020;2;2;0;0.00;0.63;50.87552;179.84674;14.63707;0.00000;0.05
17;2020;2;2;0;0.00;0.63;81.91570;1768.52441;62.67044;68.50271;0.25
19;2020;2;2;0;0.00;0.63;0.39609;0.08143;0.38364;0.00000;0.00
26;2020;2;2;0;0.00;0.63;221.86157;59.04344;200.61378;0.00000;0.54
2;2020;2;3;0;0.00;0.80;464.24466;8473.79883;211.44106;145.08878;0.76
4;2020;2;3;0;0.00;0.80;63.33966;71.23496;29.65413;0.00000;0.25
11;2020;2;3;0;0.00;0.80;90.66383;21.73901;88.27765;0.00000;0.25
13;2020;2;3;0;0.00;0.80;47.54046;144.14426;13.74627;0.00000;0.05
17;2020;2;3;0;0.00;0.80;80.47970;1682.83069;56.99763;58.98119;0.23
19;2020;2;3;0;0.00;0.80;0.36019;0.07148;0.36469;0.00000;0.00
26;2020;2;3;0;0.00;0.80;193.08910;49.75055;191.54678;0.00000;0.47
2;2020;2;4;0;0.00;0.63;456.40384;8091.54346;191.15816;102.61592;0.70
4;2020;2;4;0;0.00;0.63;54.73795;42.72701;27.95634;0.00000;0.21
11;2020;2;4;0;0.00;0.63;83.12234;18.60658;82.61145;0.00000;0.23
13;2020;2;4;0;0.00;0.63;43.94889;111.94641;13.13710;0.00000;0.05
17;2020;2;4;0;0.00;0.63;79.07318;1603.09546;51.95334;50.12172;0.22
19;2020;2;4;0;0.00;0.63;0.34390;0.06171;0.34498;0.00000;0.00
26;2020;2;4;0;0.00;0.63;181.70067;42.50212;180.18277;0.00000;0.44
2;2020;2;5;0;0.00;0.24;448.98627;7747.83936;175.02991;64.42661;0.64
4;2020;2;5;0;0.00;0.24;45.65479;23.12633;26.59515;0.00000;0.18
11;2020;2;5;0;0.00;0.24;78.65577;16.99313;77.97445;0.00000;0.22
13;2020;2;5;0;0.00;0.24;40.17682;83.79643;12.50296;0.00000;0.04
17;2020;2;5;0;0.00;0.24;77.72234;1530.20276;47.77322;42.02253;0.20
19;2020;2;5;0;0.00;0.24;0.32643;0.06021;0.32880;0.00000;0.00
26;2020;2;5;0;0.00;0.24;171.82263;39.01033;170.36707;0.00000;0.42
